"filename", "language", "Properties", "JSON", "JavaScript", "Ignore", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/.eslintrc.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/.platform/nginx/conf.d/proxy.conf", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/.prettierignore", "Ignore", 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/.prettierrc.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/configs/db.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/configs/index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/configs/routes.js", "JavaScript", 0, 0, 8, 0, 0, 0, 1, 4, 13
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/controllers/authentication.controller.js", "JavaScript", 0, 0, 85, 0, 0, 0, 6, 24, 115
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/controllers/index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/controllers/product.controller.js", "JavaScript", 0, 0, 40, 0, 0, 0, 1, 12, 53
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/controllers/user.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 13, 11, 0, 24
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/middlewares/authenticateToken.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 4, 20
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/middlewares/errorHandler.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/middlewares/index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/models/Cart.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 3, 29
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/models/Order.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 3, 51
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/models/Product.js", "JavaScript", 0, 0, 50, 0, 0, 0, 1, 4, 55
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/models/RefreshToken.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/models/Review.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 3, 30
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/models/User.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 3, 41
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/models/index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/package-lock.json", "JSON", 0, 3781, 0, 0, 0, 0, 0, 1, 3782
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/package.json", "JSON", 0, 66, 0, 0, 0, 0, 0, 1, 67
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/routes/authentication.routes.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 4, 10
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/routes/index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/server.js", "JavaScript", 0, 0, 25, 0, 0, 0, 8, 14, 47
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/services/index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/services/mongoose.services.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 3, 22
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/utils/catchAsync.js", "JavaScript", 0, 0, 3, 0, 0, 0, 4, 2, 9
"/Users/nitieii/Documents/FGW/Fourth Semester/toy-ecommerce/utils/index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 2, 6
"Total", "-", 1, 3880, 451, 3, 1, 13, 32, 104, 4485
